config,tp,trades,win_rate,avg_pnl,total_pnl,sharpe,profit_factor,max_dd_usd,max_dd_pct,cagr_pct,final_equity,exits_tp,exits_sl,exits_exp
SPX_14-21_PCC_d16,TP=none,251,56.57,135.64,34046.62,0.95,1.439,-8641.54,-8.64,6.13,134046.62,0,2,249
SPX_14-21_PCC_d16,TP=10%,251,75.3,100.85,25314.06,1.199,1.593,-6042.72,-6.04,4.71,125314.06,162,2,87
SPX_14-21_PCC_d16,TP=20%,251,68.13,182.77,45875.22,1.623,1.775,-6797.34,-6.8,7.97,145875.22,130,2,119
SPX_14-21_PCC_d16,TP=25%,251,65.74,218.36,54808.04,1.775,1.847,-6628.84,-6.63,9.28,154808.04,116,2,133
SPX_14-21_PCC_d16,TP=50%,251,58.57,268.85,67480.56,1.77,1.89,-8353.58,-8.35,11.04,167480.56,62,2,187
SPX_14-21_PPC_d16,TP=none,225,57.33,135.4,30465.36,0.952,1.441,-10175.64,-10.18,5.55,130465.36,0,3,222
SPX_14-21_PPC_d16,TP=10%,225,76.44,78.8,17729.5,0.95,1.467,-5342.3,-5.34,3.39,117729.5,148,2,75
SPX_14-21_PPC_d16,TP=20%,225,70.67,175.88,39572.14,1.617,1.791,-5696.72,-5.7,7.03,139572.14,120,2,103
SPX_14-21_PPC_d16,TP=25%,225,68.44,205.5,46236.95,1.731,1.834,-6485.45,-6.49,8.02,146236.95,108,2,115
SPX_14-21_PPC_d16,TP=50%,225,61.33,280.86,63194.06,1.894,1.971,-9399.06,-9.4,10.45,163194.06,61,2,162
SPX_21-28_PCC_d16,TP=none,237,59.49,28.06,6651.08,0.159,1.061,-24136.6,-24.14,1.32,106651.08,0,21,216
SPX_21-28_PCC_d16,TP=10%,237,83.97,2.21,522.92,0.02,1.009,-13904.84,-13.9,0.11,100522.92,187,16,34
SPX_21-28_PCC_d16,TP=20%,237,77.64,104.27,24712.42,0.766,1.319,-14921.82,-14.92,4.6,124712.42,159,19,59
SPX_21-28_PCC_d16,TP=25%,237,74.68,132.92,31502.23,0.901,1.368,-19184.94,-19.18,5.74,131502.23,146,20,71
SPX_21-28_PCC_d16,TP=50%,237,67.09,279.49,66238.96,1.516,1.658,-19467.3,-19.47,10.92,166238.96,99,21,117
SPX_21-28_PPC_d16,TP=none,216,56.02,32.3,6976.34,0.184,1.07,-15368.26,-15.37,1.4,106976.34,0,23,193
