trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2021-05-14,2021-05-27,SPX,14,790.0,-305.62,18.81,LOSS,expiration,False
2021-05-21,2021-06-03,SPX,14,750.0,-242.62,20.15,LOSS,expiration,False
2021-05-28,2021-06-10,SPX,14,890.0,-401.62,16.76,LOSS,expiration,False
2021-06-04,2021-06-17,SPX,14,830.0,-91.62,16.42,LOSS,expiration,False
2021-06-11,2021-06-24,SPX,14,565.0,-115.62,15.65,LOSS,expiration,False
2021-06-18,2021-07-01,SPX,14,640.0,-432.62,20.7,LOSS,expiration,False
2021-06-25,2021-07-08,SPX,14,665.0,649.38,15.62,WIN,expiration,True
2021-07-02,2021-07-15,SPX,14,510.0,229.38,15.07,WIN,expiration,True
2021-07-09,2021-07-22,SPX,14,535.0,69.38,16.18,WIN,expiration,True
2021-07-16,2021-07-29,SPX,14,625.0,39.38,18.45,WIN,expiration,True
2021-07-23,2021-08-05,SPX,14,620.0,-95.62,17.2,LOSS,expiration,False
2021-07-30,2021-08-12,SPX,14,725.0,-169.62,18.24,LOSS,expiration,False
2021-08-06,2021-08-19,SPX,14,675.0,457.38,16.15,WIN,expiration,True
2021-08-13,2021-08-26,SPX,14,820.0,154.38,15.45,WIN,expiration,True
2021-08-20,2021-09-02,SPX,14,845.0,-170.62,18.56,LOSS,expiration,False
2021-08-27,2021-09-09,SPX,14,640.0,140.38,16.39,WIN,expiration,True
2021-09-03,2021-09-16,SPX,14,590.0,-232.62,16.41,LOSS,expiration,False
2021-09-10,2021-09-23,SPX,14,650.0,125.38,20.95,WIN,expiration,True
2021-09-17,2021-09-30,SPX,14,635.0,88.38,20.81,WIN,expiration,True
2021-09-24,2021-10-07,SPX,14,660.0,-50.62,17.75,LOSS,expiration,False
2021-10-01,2021-10-14,SPX,14,775.0,-115.62,21.15,LOSS,expiration,False
2021-10-08,2021-10-21,SPX,14,700.0,-470.62,18.77,LOSS,expiration,False
2021-10-15,2021-10-28,SPX,14,590.0,-78.62,16.3,LOSS,expiration,False
2021-10-22,2021-11-04,SPX,14,665.0,-323.62,15.43,LOSS,expiration,False
2021-10-29,2021-11-11,SPX,14,715.0,174.38,16.26,WIN,expiration,True
2021-11-05,2021-11-18,SPX,14,650.0,-55.62,16.48,LOSS,expiration,False
2021-11-12,2021-11-26,SPX,14,865.0,607.38,16.29,WIN,expiration,True
2021-11-19,2021-12-02,SPX,14,845.0,604.38,17.91,WIN,expiration,True
2021-11-26,2021-12-09,SPX,14,885.0,-87.62,28.62,LOSS,expiration,False
2021-12-03,2021-12-16,SPX,14,935.0,106.38,30.67,WIN,expiration,True
2021-12-10,2021-12-23,SPX,14,810.0,-201.62,18.69,LOSS,expiration,False
2021-12-17,2021-12-30,SPX,14,905.0,-377.62,21.57,LOSS,expiration,False
2021-12-31,2022-01-13,SPX,14,825.0,297.38,17.22,WIN,expiration,True
2022-01-07,2022-01-20,SPX,14,775.0,-215.62,18.76,LOSS,expiration,False
2022-01-14,2022-01-27,SPX,14,835.0,-250.62,19.19,LOSS,expiration,False
2022-01-21,2022-02-03,SPX,14,945.0,221.38,28.85,WIN,expiration,True
2022-01-28,2022-02-10,SPX,14,1020.0,526.38,27.66,WIN,expiration,True
2022-02-04,2022-02-17,SPX,14,1010.0,829.38,23.22,WIN,expiration,True
2022-02-11,2022-02-24,SPX,14,1020.0,4.38,27.36,WIN,expiration,True
2022-02-18,2022-03-03,SPX,14,920.0,1371.38,27.75,WIN,expiration,True
2022-02-25,2022-03-10,SPX,14,1035.0,181.38,27.59,WIN,expiration,True
2022-03-04,2022-03-17,SPX,14,1230.0,-40.62,31.98,LOSS,expiration,False
2022-03-11,2022-03-24,SPX,14,1170.0,-783.62,30.75,LOSS,expiration,False
2022-03-18,2022-03-31,SPX,14,1290.0,-27.62,23.87,LOSS,expiration,False
2022-03-25,2022-04-07,SPX,14,1030.0,-118.62,20.81,LOSS,expiration,False
2022-04-01,2022-04-14,SPX,14,990.0,-106.62,19.63,LOSS,expiration,False
2022-04-08,2022-04-21,SPX,14,910.0,-165.62,21.16,LOSS,expiration,False
2022-04-22,2022-05-05,SPX,14,730.0,579.38,28.21,WIN,expiration,True
2022-04-29,2022-05-12,SPX,14,1050.0,751.38,33.4,WIN,expiration,True
2022-05-06,2022-05-19,SPX,14,1060.0,359.38,30.19,WIN,expiration,True
2022-05-13,2022-05-26,SPX,14,1265.0,211.38,28.87,WIN,expiration,True
2022-05-20,2022-06-02,SPX,14,840.0,-433.62,29.43,LOSS,expiration,False
2022-05-27,2022-06-09,SPX,14,1265.0,-307.62,25.72,LOSS,expiration,False
2022-06-03,2022-06-16,SPX,14,1140.0,-940.62,24.79,LOSS,expiration,False
2022-06-10,2022-06-23,SPX,14,810.0,-113.62,27.75,LOSS,expiration,False
2022-06-17,2022-06-30,SPX,14,1090.0,111.38,31.13,WIN,expiration,True
2022-06-24,2022-07-07,SPX,14,1000.0,56.38,27.23,WIN,expiration,True
2022-07-01,2022-07-14,SPX,14,965.0,-118.62,26.7,LOSS,expiration,False
2022-07-08,2022-07-21,SPX,14,1045.0,-213.62,24.64,LOSS,expiration,False
2022-07-15,2022-07-28,SPX,14,750.0,-201.62,24.23,LOSS,expiration,False
2022-07-22,2022-08-04,SPX,14,855.0,172.38,23.03,WIN,expiration,True
2022-07-29,2022-08-11,SPX,14,670.0,92.38,21.33,WIN,expiration,True
2022-08-05,2022-08-18,SPX,14,740.0,-73.62,21.15,LOSS,expiration,False
2022-08-12,2022-08-25,SPX,14,865.0,-35.62,19.53,LOSS,expiration,False
2022-08-19,2022-09-01,SPX,14,885.0,-643.62,20.6,LOSS,expiration,False
2022-08-26,2022-09-08,SPX,14,935.0,-355.62,25.56,LOSS,expiration,False
2022-09-02,2022-09-15,SPX,14,750.0,354.38,25.47,WIN,expiration,True
2022-09-09,2022-09-22,SPX,14,700.0,-358.62,22.79,LOSS,expiration,False
2022-09-16,2022-09-29,SPX,14,660.0,-28.62,26.3,LOSS,expiration,False
2022-09-23,2022-10-06,SPX,14,750.0,414.38,29.92,WIN,expiration,True
2022-09-30,2022-10-13,SPX,14,835.0,704.38,31.62,WIN,expiration,True
2022-10-07,2022-10-20,SPX,14,775.0,258.38,31.36,WIN,expiration,True
2022-10-14,2022-10-27,SPX,14,915.0,136.38,32.02,WIN,expiration,True
2022-10-21,2022-11-03,SPX,14,1310.0,-602.62,29.69,LOSS,expiration,False
