trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2021-05-14,2021-05-20,SPX,7,810.0,114.38,18.81,WIN,expiration,True
2021-05-21,2021-05-27,SPX,7,1070.0,-457.62,20.15,LOSS,expiration,False
2021-05-28,2021-06-03,SPX,7,760.0,-18.62,16.76,LOSS,expiration,False
2021-06-04,2021-06-10,SPX,7,735.0,-203.62,16.42,LOSS,expiration,False
2021-06-11,2021-06-17,SPX,7,585.0,177.38,15.65,WIN,expiration,True
2021-06-18,2021-06-24,SPX,7,825.0,-345.62,20.7,LOSS,expiration,False
2021-06-25,2021-07-01,SPX,7,715.0,-127.62,15.62,LOSS,expiration,False
2021-07-02,2021-07-08,SPX,7,745.0,353.38,15.07,WIN,expiration,True
2021-07-09,2021-07-15,SPX,7,640.0,196.38,16.18,WIN,expiration,True
2021-07-16,2021-07-22,SPX,7,830.0,-103.62,18.45,LOSS,expiration,False
2021-07-23,2021-07-29,SPX,7,720.0,98.38,17.2,WIN,expiration,True
2021-07-30,2021-08-05,SPX,7,800.0,-152.62,18.24,LOSS,expiration,False
2021-08-06,2021-08-12,SPX,7,785.0,-177.62,16.15,LOSS,expiration,False
2021-08-13,2021-08-19,SPX,7,660.0,402.38,15.45,WIN,expiration,True
2021-08-20,2021-08-26,SPX,7,965.0,264.38,18.56,WIN,expiration,True
2021-08-27,2021-09-02,SPX,7,840.0,61.38,16.39,WIN,expiration,True
2021-09-03,2021-09-09,SPX,7,840.0,31.38,16.41,WIN,expiration,True
2021-09-10,2021-09-16,SPX,7,875.0,-160.62,20.95,LOSS,expiration,False
2021-09-17,2021-09-23,SPX,7,910.0,96.38,20.81,WIN,expiration,True
2021-09-24,2021-09-30,SPX,7,810.0,53.38,17.75,WIN,expiration,True
2021-10-01,2021-10-07,SPX,7,1275.0,6.38,21.15,WIN,expiration,True
2021-10-08,2021-10-14,SPX,7,990.0,14.38,18.77,WIN,expiration,True
2021-10-15,2021-10-21,SPX,7,775.0,-237.62,16.3,LOSS,expiration,False
2021-10-22,2021-10-28,SPX,7,875.0,139.38,15.43,WIN,expiration,True
2021-10-29,2021-11-04,SPX,7,870.0,-200.62,16.26,LOSS,expiration,False
2021-11-05,2021-11-11,SPX,7,935.0,-323.62,16.48,LOSS,expiration,False
2021-11-12,2021-11-18,SPX,7,815.0,-155.62,16.29,LOSS,expiration,False
2021-11-19,2021-11-26,SPX,7,1130.0,1179.38,17.91,WIN,expiration,True
2021-11-26,2021-12-02,SPX,7,1335.0,402.38,28.62,WIN,expiration,True
2021-12-03,2021-12-09,SPX,7,1635.0,-767.62,30.67,LOSS,expiration,False
2021-12-10,2021-12-16,SPX,7,855.0,497.38,18.69,WIN,expiration,True
2021-12-17,2021-12-23,SPX,7,1325.0,-490.62,21.57,LOSS,expiration,False
2021-12-31,2022-01-06,SPX,7,920.0,62.38,17.22,WIN,expiration,True
2022-01-07,2022-01-13,SPX,7,1315.0,429.38,18.76,WIN,expiration,True
2022-01-14,2022-01-20,SPX,7,1305.0,-435.62,19.19,LOSS,expiration,False
2022-01-21,2022-01-27,SPX,7,1440.0,1019.38,28.85,WIN,expiration,True
2022-01-28,2022-02-03,SPX,7,1600.0,134.38,27.66,WIN,expiration,True
2022-02-04,2022-02-10,SPX,7,1265.0,814.38,23.22,WIN,expiration,True
2022-02-11,2022-02-17,SPX,7,1630.0,993.38,27.36,WIN,expiration,True
2022-02-18,2022-02-24,SPX,7,1925.0,17.38,27.75,WIN,expiration,True
