trade_date,calendar_date,dte_remaining,pnl_usd
2021-05-14,2021-05-14,7,-6.81
2021-05-14,2021-05-15,6,-6.81
2021-05-14,2021-05-16,5,-6.81
2021-05-14,2021-05-17,4,160.19
2021-05-14,2021-05-18,3,120.19
2021-05-14,2021-05-19,2,80.19
2021-05-14,2021-05-20,1,624.38
2021-05-21,2021-05-21,7,-6.8
2021-05-21,2021-05-22,6,-6.8
2021-05-21,2021-05-23,5,-6.8
2021-05-21,2021-05-24,4,-406.8
2021-05-21,2021-05-25,3,-146.8
2021-05-21,2021-05-26,2,-476.8
2021-05-21,2021-05-27,1,-757.61
2021-05-28,2021-05-28,7,-6.8
2021-05-28,2021-05-29,6,-6.8
2021-05-28,2021-05-30,5,-6.8
2021-05-28,2021-05-31,4,-6.8
2021-05-28,2021-06-01,3,200.2
2021-05-28,2021-06-02,2,-74.81
2021-05-28,2021-06-03,1,164.39
2021-06-04,2021-06-04,7,-6.81
2021-06-04,2021-06-05,6,-6.81
2021-06-04,2021-06-06,5,-6.81
2021-06-04,2021-06-07,4,-301.81
2021-06-04,2021-06-08,3,-39.81
2021-06-04,2021-06-09,2,333.19
2021-06-04,2021-06-10,1,-365.61
2021-06-11,2021-06-11,7,-6.81
2021-06-11,2021-06-12,6,-6.81
2021-06-11,2021-06-13,5,-6.81
2021-06-11,2021-06-14,4,108.19
2021-06-11,2021-06-15,3,268.19
2021-06-11,2021-06-16,2,250.19
2021-06-11,2021-06-17,1,482.38
2021-06-18,2021-06-18,7,-6.81
2021-06-18,2021-06-19,6,-6.81
2021-06-18,2021-06-20,5,-6.81
2021-06-18,2021-06-21,4,43.19
2021-06-18,2021-06-22,3,-456.81
2021-06-18,2021-06-23,2,-664.81
2021-06-18,2021-06-24,1,-1158.62
2021-06-25,2021-06-25,7,-6.8
2021-06-25,2021-06-26,6,-6.8
2021-06-25,2021-06-27,5,-6.8
2021-06-25,2021-06-28,4,183.2
2021-06-25,2021-06-29,3,292.2
2021-06-25,2021-06-30,2,140.2
2021-06-25,2021-07-01,1,37.39
2021-07-02,2021-07-02,7,-6.8
2021-07-02,2021-07-03,6,-6.8
